,Unnamed: 0,url,title,description,date,author,id,climatebert_scores,unweighted_scores,probability_score,gpt_maximum_classification,gpt_average_classification,gpt_sum,gpt_length
5193,492,https://www.bis.org/review/r080609a.pdf,Jean-Claude Trichet: Reflections on the current financial markets correction,"Keynote address by Mr Jean-Claude Trichet, President of the European Central Bank, at the OECD Forum 2008 'Climate change, growth, stability', Paris, 4 June 2008.",2008-06-04 00:00:00,Jean-Claude Trichet,r080609a,-0.8092021508650347,-0.8999191360040144,0.050040431997992796,1,0.5,1,2
5609,37,https://www.bis.org/review/r091217b.pdf,Jean-Claude Trichet: Systemic risk,"Text of the Clare Distinguished Lecture in Economics and Public Policy by Mr Jean-Claude Trichet, President of the European Central Bank, organised by Clare College, University of Cambridge, Cambridge, 10 December 2009.",2009-12-10 00:00:00,Jean-Claude Trichet,r091217b,-0.7501447644888186,-0.8675301635966581,0.06623491820167093,1,0.3333333333333333,1,3
7288,868,https://www.bis.org/review/r100219c.pdf,Duvvuri Subbarao: Financial crises and the impact of the latest one on India,"Welcome remarks by Dr Duvvuri Subbarao, Governor of the Reserve Bank of India, at the Fourteenth C D Deshmukh Memorial Lecture, Mumbai, 15 February 2010.",2010-02-15 00:00:00,Duvvuri Subbarao,r100219c,-0.4778242235382398,-0.7270722364385923,0.13646388178070384,1,0.5,1,2
8173,804,https://www.bis.org/review/r110311d.pdf,Axel A Weber: Lessons learnt - the reform of financial regulation and its implications,"Speech by Professor Axel A Weber, President of the Deutsche Bundesbank, to the University College London (UCL) Economics and Finance Society, London, 10 March 2011.",2011-03-10 00:00:00,Axel A Weber,r110311d,-0.9864628542037236,-0.9864628542037237,0.006768572898138148,1,0.5,1,2
11558,387,https://www.bis.org/review/r150807b.htm,Ravi Menon: An economic history of Singapore - 1965-2065,"Keynote address by Mr Ravi Menon, Managing Director of the Monetary Authority of Singapore, at the Singapore Economic Review Conference 2015, Singapore, 5 August 2015.",2015-08-05 00:00:00,Ravi Menon,r150807b,-0.2907367587089539,-0.6399841785430909,0.18000791072845457,1,0.5,1,2
11769,598,https://www.bis.org/review/r150429a.pdf,Øystein Olsen: Integrating financial stability and monetary policy analysis,"Speech by Mr Øystein Olsen, Governor of Norges Bank (Central Bank of Norway), at the Systemic Risk Centre, London School of Economics, London, 27 April 2015.",2015-04-27 00:00:00,Øystein Olsen,r150429a,-0.6611882243305445,-0.7977969292551279,0.10110153537243605,1,0.5,1,2
11911,740,https://www.bis.org/review/r150304c.htm,Paul Fisher: Confronting the challenges of tomorrow's world,"Speech by Mr Paul Fisher, Executive Director for Insurance Supervision of the Bank of England and Deputy Head of the Prudential Regulation Authority (PRA), at the Economist's Insurance Summit 2015, London, 3 March 2015.",2015-03-03 00:00:00,Paul Fisher,r150304c,-0.1607918844503515,-0.567386763937333,0.2163066180313335,1,0.5,1,2
12125,88,https://www.bis.org/review/r161209a.htm,N S Vishwanathan: Issues in infrastructure financing in India,"Chief Guest's address by Mr N S Vishwanathan, Deputy Governor of the Reserve Bank of India, at the 6th National Summit organised by the Associated Chambers of Commerce and Industry of India (ASSOCHAM) on ""Infrastructure Finance - Building a New India"", Mumbai, 15 November 2016.",2016-11-15 00:00:00,N S Vishwanathan,r161209a,-0.3029570037668401,-0.5971065759658813,0.20144671201705933,1,0.5,1,2
12342,305,https://www.bis.org/review/r160928j.htm,Jens Weidmann: Welcome remarks - forging ties - profile of Mark Carney,"Speech by Dr Jens Weidmann, President of the Deutsche Bundesbank and Chairman of the Board of Directors of the Bank for International Settlements, at the XXIIV. Arthur Burns Memorial Lecture, Berlin, 22 September 2016.",2016-09-22 00:00:00,Jens Weidmann,r160928j,-0.5929377496242523,-0.7925852477550507,0.10370737612247466,1,1.0,1,1
12634,597,https://www.bis.org/review/r160527b.htm,Muhammad bin Ibrahim: Future banking: reimagining banks - driving transformation and innovation,"Keynote address by Mr Muhammad bin Ibrahim, Governor of the Central Bank of Malaysia (Bank Negara Malaysia), at the ASLI (Asian Strategy &amp;amp; Leadership Instiute) 20th Malaysian Banking Summit, Kuala Lumpur, 26 May 2016.",2016-05-26 00:00:00,Muhammad bin Ibrahim,r160527b,-0.7364832758903503,-0.8651520994401747,0.06742395027991266,1,0.5,1,2
12987,39,https://www.bis.org/review/r171123g.htm,Klaas Knot: Investment and investment finance in Europe,"Speech by Mr Klaas Knot, President of the Netherlands Bank, at the European Investment Bank's Annual Economics Conference ""Investment and Investment Finance"", Luxembourg, 23 November 2017.",2017-11-23 00:00:00,Klaas Knot,r171123g,0.1771278863861447,-0.3932201890718369,0.3033899054640815,1,0.5,1,2
13057,109,https://www.bis.org/review/r180108g.htm,Abdul Rasheed Ghaffour: Islamic finance - building solutions for a sustainable future,"Speech by Mr Abdul Rasheed Ghaffour, Deputy Governor of the Central Bank of Malaysia (Bank Negara Malaysia), at the 3rd Annual Symposium on Islamic Finance ""Islamic Finance - Building Solutions for a Sustainable Future"", Kuala Lumpur, 12 December 2017.",2017-12-12 00:00:00,Abdul Rasheed Ghaffour,r180108g,0.8639638487781797,-0.05113740265369415,0.4744312986731529,1,1.0,2,2
13290,342,https://www.bis.org/review/r170920e.htm,Muhammad bin Ibrahim: The way forward for development financial institutions,"Opening address by Mr Muhammad bin Ibrahim, Governor of the Central Bank of Malaysia (Bank Negara Malaysia), at the Global Symposium on Development Financial Institutions ""The Way Forward for Development Financial Institutions"", Kuala Lumpur, 19 September 2017.",2017-09-19 00:00:00,Muhammad bin Ibrahim,r170920e,-0.6323330456560309,-0.8133833679285917,0.09330831603570416,1,0.5,1,2
14034,64,https://www.bis.org/review/r180220g.htm,Mark Carney: Reflections on leadership in a disruptive age,"Speech by Mr Mark Carney, Governor of the Bank of England and Chairman of the Financial Stability Board, at Regent's University, London, 19 February 2018.",2018-02-19 00:00:00,Mark Carney,r180220g,-0.5738379941430203,-0.7753319088802781,0.11233404555986093,1,0.3333333333333333,1,3
14200,230,https://www.bis.org/review/r180504b.htm,"François Villeroy de Galhau: Beyond Brexit, our common challenges and our common answers","Speech by Mr François Villeroy de Galhau, Governor of the Bank of France, at the City Week 2018, London, 24 April 2018.",2018-04-24 00:00:00,François Villeroy de Galhau,r180504b,-0.1596516648928324,-0.5589742461840311,0.22051287690798443,1,1.0,1,1
14295,325,https://www.bis.org/review/r180606f.htm,Erkki Liikanen: Economics and economic policy,"Speech by Mr Erkki Liikanen, Governor of the Bank of Finland, Helsinki, 10 April 2018.",2018-04-10 00:00:00,Erkki Liikanen,r180606f,-0.2379731349647045,-0.6122523620724678,0.1938738189637661,1,0.5,1,2
14455,485,https://www.bis.org/review/r180817b.htm,Philip R Lane: Macro-financial policies for the short term and the long term,"Speech by Mr Philip R Lane, Governor of the Central Bank of Ireland, at the MacGill Summer School, Glenties, 27 July 2018.",2018-07-27 00:00:00,Philip R Lane,r180817b,-0.1758716543515523,-0.5716937820116679,0.21415310899416606,1,0.5,1,2
14511,541,https://www.bis.org/review/r180910f.htm,"Adrian Orr: Geopolitics, New Zealand and the winds of change","Speech by Mr Adrian Orr, Governor of the Reserve Bank of New Zealand, to the ""Shaping Futures National Conference"" Financial Services Council, Auckland, 7 September 2018.",2018-09-07 00:00:00,Adrian Orr,r180910f,0.0359216968218485,-0.4620313286781311,0.26898433566093444,1,0.3333333333333333,1,3
14628,658,https://www.bis.org/review/r181031e.htm,"Sabine Lautenschläger: Ten years after the crisis - risks, rules and supervision","Speech by Ms Sabine Lautenschläger, Member of the Executive Board of the European Central Bank and Vice-Chair of the Supervisory Board of the European Central Bank, at the 13th ASBA-BCBS-FSI High-Level Meeting on Global and Regional Supervisory Priorities in Nassau, Bahamas, 30 October 2018.",2018-10-30 00:00:00,Sabine Lautenschläger,r181031e,-0.2539555260113307,-0.6186028179668245,0.19069859101658776,1,0.3333333333333333,1,3
14690,720,https://www.bis.org/review/r181113d.htm,"Geoff Bascand: Financial stability - risky, safe, or just right?","Speech by Mr Geoff Bascand, Deputy Governor and Head of Financial Stability of the Reserve Bank of New Zealand, to the UBS Australasia Conference 2018, Sydney, 13 November 2018.",2018-11-13 00:00:00,Geoff Bascand,r181113d,-0.6465554410761053,-0.809145712852478,0.09542714357376098,1,0.3333333333333333,1,3
14696,726,https://www.bis.org/review/r181113j.htm,Olli Rehn: Future proofing your bank? Digital transformation and regulatory reform in the financial sector,"Closing keynote address by Mr Olli Rehn, Governor of the Bank of Finland, at The Financial Times Middle East Banking Forum, Dubai, UAE, 11 November 2018.",2018-11-11 00:00:00,Olli Rehn,r181113j,0.8835399817017948,-0.05528924395056332,0.47235537802471833,1,1.0,1,1
14699,729,https://www.bis.org/review/r181114b.htm,François Villeroy de Galhau: Pushing back the limits of insurability,"Closing remarks by Mr François Villeroy de Galhau, Governor of the Bank of France and Chairman of the Autorité de contrôle prudentiel et de resolution (ACPR), at the 10th international conference on insurance, Paris, 26 October 2018.",2018-10-26 00:00:00,François Villeroy de Galhau,r181114b,0.278530552983284,-0.34524064511060715,0.3273796774446964,1,1.0,1,1
14831,861,https://www.bis.org/review/r181220a.htm,"Denis Beau: Old and new challenges for the insurance sector, its regulators and supervisors","Keynote address by Mr Denis Beau, First Deputy Governor of the Bank of France, at the Joint ICMIF/AMICE Regulatory Affairs conference, Paris, 4 December 2018.",2018-12-04 00:00:00,Denis Beau,r181220a,0.0231132755676905,-0.4757718990246455,0.2621140504876772,1,1.0,2,2
