,Unnamed: 0,url,title,description,date,author,id,climatebert_scores,unweighted_scores,probability_score,gpt_maximum_classification,gpt_average_classification,gpt_sum,gpt_length
1125,136,https://www.bis.org/review/r010629a.pdf,Alan Greenspan: Impact of energy on the economy,"Remarks by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Economic Club of Chicago, Chicago, Illinois, 28 June 2001.",2001-06-28 00:00:00,Alan Greenspan,r010629a,2.4622143264170044,0.7693266890667103,0.8846633445333552,0,0.0,0,2
1912,273,https://www.bis.org/review/r030314e.pdf,Jarle Bergo: Oil - economic policy challenges,"Address by Mr Jarle Bergo, Deputy Governor of Norges Bank (Central Bank of Norway) at the 2003 Southern Norway Conference, Kristiansand, 11 March 2003.",2003-03-11 00:00:00,Jarle Bergo,r030314e,1.1423437297344208,0.10937394201755524,0.5546869710087776,0,0.0,0,3
2003,26,https://www.bis.org/review/r041229a.pdf,Jean-Pierre Roth: International monetary policy 2005,"Summary of a speech by Mr Jean Pierre Roth, Chairman of the Governing Board of the Swiss National Bank, at the 19. Internationales Zins-Forum - Zinsen 2005, Frankfurt am Main, 6 December 2004",2004-12-06 00:00:00,Jean-Pierre Roth,r041229a,2.321585714817047,0.7738619049390157,0.8869309524695079,0,0.0,0,1
2055,78,https://www.bis.org/review/r041122c.pdf,Philipp M Hildebrand: Monetary policy and oil prices - a new paradigm?,"Speech by Mr Philipp M Hildebrand, Member of the Governing Board of the Swiss National Bank, to the Swiss-American Chamber of Commerce Union League Club, New York, 18 November 2004.",2004-11-18 00:00:00,Philipp Hildebrand,r041122c,1.506405150486251,0.28622590384240876,0.6431129519212044,0,0.0,0,3
2157,180,https://www.bis.org/review/r041022d.pdf,Ben S Bernanke: Oil and the economy,"Remarks by Mr Ben S Bernanke, Member of the Board of Governors of the US Federal Reserve System, at the Distinguished Lecture Series, Darton College, Albany, Georgia, 21 October 2004.",2004-10-21 00:00:00,Ben S Bernanke,r041022d,2.4910676790909334,0.7863616089929234,0.8931808044964618,0,0.0,0,3
2159,182,https://www.bis.org/review/r041022b.pdf,Alan Greenspan: Oil,"Remarks by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, to the National Italian American Foundation, Washington, DC, 15 October 2004.",2004-10-15 00:00:00,Alan Greenspan,r041022b,2.547968586285909,0.8263110490072341,0.913155524503617,0,0.0,0,2
2220,243,https://www.bis.org/review/r040920h.pdf,Edward M Gramlich: Oil shocks and monetary policy,"Remarks by Mr Edward M Gramlich, Member of the Board of Governors of the US Federal Reserve System, at the Annual Economic Luncheon, Federal Reserve Bank of Kansas City, Kansas City, 16 September 2004.",2004-09-16 00:00:00,Edward M Gramlich,r040920h,2.036336258701656,0.5684229783389879,0.784211489169494,0,0.0,0,2
2405,428,https://www.bis.org/review/r040430a.pdf,Alan Greenspan: Energy,"Remarks by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Center for Strategic &amp;amp;International Studies, Washington, DC, 27 April 2004.",2004-04-27 00:00:00,Alan Greenspan,r040430a,2.6155030869302296,0.8404283211344764,0.9202141605672383,0,0.0,0,2
2625,76,https://www.bis.org/review/r051130c.pdf,Philipp M Hildebrand: Economic outlook and monetary policy,"Speech by Mr Philipp M Hildebrand, Member of the Governing Board of the Swiss National Bank, Apéritif Marché monétaire, Geneva, 17 November 2005.",2005-11-17 00:00:00,Philipp Hildebrand,r051130c,1.0857906937599182,0.09772363305091858,0.5488618165254593,0,0.0,0,1
2656,107,https://www.bis.org/review/r051109b.pdf,Jean-Pierre Roth: Rising oil prices - a challenge for monetary policy?,"Speech by Mr Jean-Pierre Roth, Chairman of the Governing Board of the Swiss National Bank, Djeuners de la Finance, Geneva, 2 November 2005.",2005-11-02 00:00:00,Jean-Pierre Roth,r051109b,2.943789660930633,0.9812632203102112,0.9906316101551056,0,0.0,0,1
2680,131,https://www.bis.org/review/r051021d.pdf,Roger W Ferguson Jr: Economic outlook for the United States,"Remarks by Roger W. Ferguson Jr, Vice Chairman of the Board of Governors of the US Federal Reserve System, to the Metropolitan Trenton African American Chamber of Commerce, Trenton, New Jersey, 18 October 2005.",2005-10-18 00:00:00,Roger W Ferguson,r051021d,1.883239579611811,0.47455694141059085,0.7372784707052954,0,0.0,0,2
2683,134,https://www.bis.org/review/r051021a.pdf,Alan Greenspan: Energy,"Remarks by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Japan Business Federation, the Japan Chamber of Commerce and Industry, and the Japan Association of Corporate Executives, Tokyo, Japan, 17 October 2005.",2005-10-17 00:00:00,Alan Greenspan,r051021a,2.519358589099004,0.8126369072840764,0.9063184536420382,0,0.0,0,2
2700,151,https://www.bis.org/review/r051014d.pdf,"Glenn Stevens: Economic conditions and prospects, October 2005","Address by Mr Glenn Stevens, Deputy Governor of the Reserve Bank of Australia, to the Tasmanian Chamber of Commerce and Industry Business Dinner, Hobart, 11 October 2005.",2005-10-11 00:00:00,Glenn Stevens,r051014d,1.1216436336117406,0.098141529867726,0.549070764933863,0,0.0,0,2
2742,193,https://www.bis.org/review/r050901h.pdf,Svein Gjedrem: Petroleum and the Norwegian economy,"Speech by Mr Svein Gjedrem, Governor of Norges Bank (Central Bank of Norway), at the Alfred Berg ABN AMRO's Nordic Energy Conference, Oslo, 30 August 2005.",2005-08-30 00:00:00,Svein Gjedrem,r050901h,1.701546475887299,0.3924908375740051,0.6962454187870025,0,0.0,0,2
2904,355,https://www.bis.org/review/r050523a.pdf,Alan Greenspan: Energy,"Remarks by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Economic Club of New York, New York, 20 May 2005.",2005-05-20 00:00:00,Alan Greenspan,r050523a,2.873777082988194,0.957925694329398,0.978962847164699,0,0.0,0,2
3001,452,https://www.bis.org/review/r050408b.pdf,Alan Greenspan: Energy,"Remarks by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the National Petrochemical and Refiners Association Conference, San Antonio, Texas, (via satellite), 5 April 2005.",2005-04-05 00:00:00,Alan Greenspan,r050408b,2.962314911186695,0.9874383037288984,0.9937191518644493,0,0.0,0,2
3273,125,https://www.bis.org/review/r061117e.pdf,T T Mboweni: Joining hands in support of development,"Address by Mr T T Mboweni, Governor of the South African Reserve Bank, at the Variety Club, Water Relief Campaign Launch Banquet, Johannesburg, 14 November 2006.",2006-11-14 00:00:00,T T Mboweni,r061117e,1.8163959842461803,0.4782266846069923,0.7391133423034961,0,0.0,0,1
3285,137,https://www.bis.org/review/r061115e.pdf,Derick Latibeaudiere: The effect of oil prices ¿ the case of the importers,"Presentation by Mr Derick Latibeaudiere, Governor of the Bank of Jamaica, at a round-table discussion during the meeting of Latin American Network of Central Banks and Finance Ministries, Washington DC, 19-20 October 2006.",2006-10-20 00:00:00,Derick Latibeaudiere,r061115e,1.8320747237456472,0.45173222767679316,0.7258661138383966,0,0.0,0,1
3581,433,https://www.bis.org/review/r060622a.pdf,Ben S Bernanke: Energy and the economy,"Remarks by Mr Ben S Bernanke, Chairman of the Board of Governors of the US Federal Reserve System, before the Economic Club of Chicago, Chicago, 15 June 2006.",2006-06-15 00:00:00,Ben S Bernanke,r060622a,2.7603055852832217,0.9000365481232152,0.9500182740616077,0,0.0,0,2
3623,475,https://www.bis.org/review/r060612a.pdf,Svein Gjedrem: Terms of trade shocks and challenges for stabilisation policy,"Speech by Mr Svein Gjedrem, Governor of Norges Bank (Central Bank of Norway), at the Symposium in Honour of Victor D Norman, Bergen, 7 June 2006.",2006-06-07 00:00:00,Svein Gjedrem,r060612a,1.0541721294003148,0.06673815750306653,0.5333690787515333,0,0.0,0,2
3681,533,https://www.bis.org/review/r060516a.pdf,Axel A Weber: Oil price shocks and monetary policy in the euro area,"Text of the Whitaker Lecture by Professor Axel A Weber, President of the Deutsche Bundesbank, at the Central Bank and Financial Services Authority of Ireland, Dublin, 11 May 2006.",2006-05-11 00:00:00,Axel A Weber,r060516a,1.8100003582589768,0.4565371292478898,0.7282685646239448,0,0.0,0,2
4368,503,https://www.bis.org/review/r070612d.pdf,"Alan Bollard: Commodities, dairy prices and the New Zealand economy","Speech by Dr Alan Bollard, Governor of the Reserve Bank of New Zealand, to the Waikato Grasshoppers, Hamilton, 12 June 2007.",2007-06-12 00:00:00,Alan Bollard,r070612d,1.1703857160531557,0.1764333821260012,0.5882166910630006,0,0.0,0,2
4874,173,https://www.bis.org/review/r081106a.pdf,Christian Noyer: The history and future of corporate social responsibility,"Welcome speech by Mr Christian Noyer, Governor of the Bank of France, at the Symposium ICCA - EABH, Paris, 27 October 2008.",2008-10-27 00:00:00,Christian Noyer,r081106a,1.936072902245955,0.48574901710857044,0.7428745085542852,0,0.0,0,1
4922,221,https://www.bis.org/review/r081015b.pdf,Mario Draghi: Challenges now facing the world economy,"Statement by Mr Mario Draghi, Governor of the Bank of Italy, at the Seventy-Eighth Meeting of the Development Committee, Washington DC, 12 October 2008.",2008-10-12 00:00:00,Mario Draghi,r081015b,1.0801393714818088,0.07477279684760353,0.5373863984238018,0,0.0,0,1
5023,322,https://www.bis.org/review/r080904d.pdf,Andres Sutt: Emerging energy markets - key issues,"Introductory remarks by Mr Andres Sutt, Deputy Governor of Eesti Pank (Bank of Estonia), at the GIC/MKM/Eesti Bank Conference on emerging energy markets, Tallinn, 21 August 2008.",2008-08-21 00:00:00,Andres Sutt,r080904d,1.65871861577034,0.33184753855069477,0.6659237692753474,0,0.0,0,1
5688,116,https://www.bis.org/review/r091126c.pdf,"Amando M Tetangco, Jr: Ensuring efficient &amp;amp; eco-friendly ASEAN mints","Speech by Mr Amando M Tetangco, Jr, Governor of the Central Bank of the Philippines (Bangko Sentral ng Pilipinas), at the 14th Technical Meeting of Mints in ASEAN (TEMAN), Manila, 23 November 2009.",2009-11-23 00:00:00,"Amando M Tetangco, Jr",r091126c,1.398252010345459,0.20143730640411378,0.6007186532020569,0,0.0,0,1
5877,305,https://www.bis.org/review/r090923c.pdf,Caleb M Fundanga: Campaign to keep Zambia clean and healthy,"Opening remarks by Dr Caleb M Fundanga, Governor of the Bank of Zambia, at the review walk of the ""Keep Lusaka clean, green and healthy campaign project"", Lusaka, 17 September 2009.",2009-09-17 00:00:00,Caleb M Fundanga,r090923c,1.448340227206548,0.3137708206971486,0.6568854103485743,0,0.0,0,1
5908,336,https://www.bis.org/review/r090915d.pdf,Jose De Gregorio: Economic growth in Chile and copper,"Speech by Mr Jose De Gregorio, Governor of the Central Bank of Chile, at the CESCO conference ""1984-2009, 25 Años de la Industria del Cobre y su impacto en Chile"", Santiago, 1 September 2009.",2009-09-01 00:00:00,José de Gregorio,r090915d,1.36449725885649,0.2663078630292738,0.6331539315146368,0,0.0,0,2
6500,80,https://www.bis.org/review/r101208g.pdf,Anna Maria Tarantola: Women nurturing sustainable development,"Remarks by Ms Anna Maria Tarantola, Deputy Director General of the Bank of Italy, at the 58th World Forum for Women Entrepreneurs Femmes Chefs d'Entreprises Mondiales - FCEM World Congress, Florence, 22 October 2010.",2010-10-22 00:00:00,Anna Maria Tarantola,r101208g,2.935856885769788,0.9786189619232627,0.9893094809616314,0,0.0,0,1
6962,542,https://www.bis.org/review/r100609a.pdf,Svein Gjedrem: A diversified economy,"Speech by Mr Svein Gjedrem, Governor and Chairman of the Norges Bank (Central Bank of Norway), at the seminar ""Oil in the economy"" at the Norwegian Oil Museum, Stavanger, 8 June 2010.",2010-06-08 00:00:00,Svein Gjedrem,r100609a,1.0617101810596608,0.07723821975566723,0.5386191098778336,0,0.0,0,2
7382,13,https://www.bis.org/review/r111230j.pdf,Bwalya K E Ng'andu: Improving the investment climate in Zambia,"Opening remarks by Dr Bwalya K E Ng'andu, Deputy Governor (Operations) of the Bank of Zambia, at the Foreign Private Investment &amp;amp; Investor Perception Survey 2011 Dissemination Workshop, Lusaka, 22 December 2011.",2011-12-22 00:00:00,Bwalya K E Ng'andu,r111230j,1.548991448349423,0.32490240865283543,0.6624512043264177,0,0.0,0,1
7607,238,https://www.bis.org/review/r111018c.pdf,Alan Bollard: Economic impacts of seismic risk - lessons for Wellington,"Speech by Dr Alan Bollard, Governor of the Reserve Bank of New Zealand, and Mr Satish Ranchhod, to the Rotary Club of Wellington and Victoria University of Wellington one day conference ""Organisational Effectiveness in Times of Seismic Risk"", Wellington, 18 October 2011.",2011-10-18 00:00:00,Alan Bollard,r111018c,1.452344461185176,0.3080968333453667,0.6540484166726833,0,0.0,0,3
7874,505,https://www.bis.org/review/r110621e.pdf,"K C Chakrabarty: Non-financial reporting - what, why and how - Indian perspective","Address by Dr K C Chakrabarty, Deputy Governor of the Reserve Bank of India, at the National Conference on ""Non-Financial Reporting and Risk Management for Financial Institutions in India"", jointly organised by GIZ, SIDBI, Global Reporting Initiative (GRI), IIM Bangalore and NextGen, Mumbai, 6 June 2011.",2011-06-06 00:00:00,K C Chakrabarty,r110621e,2.2692881839142904,0.6645753201511171,0.8322876600755585,0,0.0,0,2
8030,661,https://www.bis.org/review/r110503b.pdf,Loi M Bakani: The LNG project and Papua New Guinea's economy,"Presentation by Mr Loi M Bakani, Governor of the Bank of Papua New Guinea, at the Consultative Implementation and Monitoring Council (CIMC) Workshop on ""The LNG project and Papua New Guinea's economy"", Port Moresby, 31 March 2011.",2011-03-31 00:00:00,Loi M Bakani,r110503b,1.5336689750353496,0.3095357086923387,0.6547678543461694,0,0.0,0,1
9010,697,https://www.bis.org/review/r120417b.pdf,Emmanuel Tumusiime-Mutebile: Oil revenue management,"Remarks by Mr Emmanuel Tumusiime-Mutebile, Governor of the Bank of Uganda, at the Oil Revenue Management Seminar, Kampala, 27 February 2012.",2012-02-27 00:00:00,Emmanuel Tumusiime-Mutebile,r120417b,1.897306114435196,0.5234120488166809,0.7617060244083405,0,0.0,0,1
9014,701,https://www.bis.org/review/r120416g.pdf,Erdem Başçi: Latest economic outlook and macroeconomic developments in Turkey,"Panel speech by Mr Erdem Başçi, Governor of the Central Bank of the Republic of Turkey, at the Conference on ""Policy responses to commodity price movements"", Istanbul, 7 April 2012.",2012-04-07 00:00:00,Erdem Başçi,r120416g,0.9340032339096068,0.015766183535257976,0.507883091767629,0,0.0,0,1
10478,243,https://www.bis.org/review/r141021d.htm,"G Padmanabhan: Corporate sustainability a panacea for growth - values, convictions and actions","Address by Mr G Padmanabhan, Executive Director of the Bank of India, at Bhawan's Royal Institute of Management, Kochi, 17 October 2014.",2014-10-17 00:00:00,G Padmanabhan,r141021d,1.5174979368845622,0.2776831289132436,0.6388415644566218,0,0.0,0,2
10681,446,https://www.bis.org/review/r140711f.htm,Jacqueline Loh: Public-private partnership - the way forward for natural catastrophe risk management in Asia,"Opening address by Ms Jacqueline Loh, Deputy Managing Director of the Monetary Authority of Singapore, at the 5th Institute of Catastrophe Risk Management Symposium, Singapore, 24 April 2014.",2014-04-24 00:00:00,Jacqueline Loh,r140711f,2.3956411523478374,0.7244551224367959,0.8622275612183979,0,0.0,0,1
11175,4,https://www.bis.org/review/r160118f.htm,Øystein Olsen: Managing Norway's oil wealth,"Speech by Mr Øystein Olsen, Governor of Norges Bank (Central Bank of Norway), at the ""Desemberkonferansen"" oil and gas conference, Kristiansund, 3 December 2015.",2015-12-03 00:00:00,Øystein Olsen,r160118f,1.80700558423996,0.4498937955269447,0.7249468977634723,0,0.0,0,2
11770,599,https://www.bis.org/review/r150429b.htm,Stephen S Poloz: Opening statement before the House of Commons Standing Committee on Finance,"Opening statement by Mr Stephen S Poloz, Governor of the Bank of Canada, before the House of Commons Standing Committee on Finance, Ottawa, Ontario, 28 April 2015.",2015-04-28 00:00:00,Stephen S Poloz,r150429b,1.271087149779002,0.17138298352559408,0.585691491762797,0,0.0,0,1
11845,674,https://www.bis.org/review/r150330d.htm,Øystein Olsen: Oil and the Norwegian economy - the challenges ahead,"Speech by Mr Øystein Olsen, Governor of the Norges Bank (Central Bank of Norway), at a lunch hosted by Danske Bank Markets, New York City, 27 March 2015.",2015-03-27 00:00:00,Øystein Olsen,r150330d,1.2397326596321598,0.16657084995700466,0.5832854249785023,0,0.0,0,2
11918,747,https://www.bis.org/review/r150304j.htm,Emmanuel Tumusiime-Mutebile: The impact of oil price volatility and its implications for the economy and for macroeconomic stability,"Speech by Mr Emmanuel Tumusiime-Mutebile, Governor of the Bank of Uganda, at the Dialogue on ""The Impact of Oil Price Volatility and its Implications for the Economy and for Macroeconomic Stability"", Kampala, 25 February 2015.",2015-02-25 00:00:00,Emmanuel Tumusiime-Mutebile,r150304j,2.4241311699151997,0.7552462443709373,0.8776231221854687,0,0.0,0,1
12010,839,https://www.bis.org/review/r150122a.htm,Stephen S Poloz: Release of the Monetary Policy Report,"Opening statement by Mr Stephen S Poloz, Governor of the Bank of Canada, at the press conference following the release of the Monetary Policy Report, Ottawa, Ontario, 21 January 2015.",2015-01-21 00:00:00,Stephen S Poloz,r150122a,2.209520916144053,0.6628521084785461,0.8314260542392731,0,0.0,0,1
12028,857,https://www.bis.org/review/r150114a.htm,Timothy Lane: Drilling down - understanding oil prices and their economic impact,"Remarks by Mr Timothy Lane, Deputy Governor of the Bank of Canada, to the International Trade Association (MITA), Madison, Wisconsin, 13 January 2015.",2015-01-13 00:00:00,Timothy Lane,r150114a,2.169442980630057,0.6223142181124006,0.8111571090562003,0,0.0,0,2
13052,104,https://www.bis.org/review/r180109a.htm,Patrick Njoroge: Rural and agricultural finance in Africa,"Keynote address by Dr Patrick Njoroge, Governor of the Central Bank of Kenya, at the Impact Investment Forum: African Rural and Agricultural Credit Association (AFRACA) 40th Anniversary, Nairobi, 21 November 2017.",2017-11-21 00:00:00,Patrick Njoroge,r180109a,1.059026199579239,0.07492075562477112,0.5374603778123855,0,0.0,0,1
13380,432,https://www.bis.org/review/r170808b.htm,Ravi Menon: Protecting Asia from natural catastrophes,"Opening address by Mr Ravi Menon, Managing Director of the Monetary Authority of Singapore, at the Institute of Catastrophe Risk Management Symposium, Singapore, 3 August 2017.",2017-08-03 00:00:00,Ravi Menon,r170808b,2.5032342885221754,0.7872918971947261,0.8936459485973631,0,0.0,0,1
14003,33,https://www.bis.org/review/r180131c.htm,Esala Masitabua: Launch of 2018 Student Diary,"Speech by Mr Esala Masitabua, Deputy Governor of the Reserve Bank of Fiji, at the Launch of the 2018 Reserve Bank of Fiji Student Diary, Fiji, 30 January 2018.",2018-01-30 00:00:00,Esala Masitabua,r180131c,1.0195298373699189,0.021544164419174193,0.5107720822095871,0,0.0,0,1
14127,157,https://www.bis.org/review/r180327d.htm,Øystein Olsen: Does Norway save too much?,"Speech by Mr Øystein Olsen, Governor of Norges Bank (Central Bank of Norway), at the Peterson Institute for International Economics, Washington DC, 22 March 2018.",2018-03-22 00:00:00,Øystein Olsen,r180327d,1.144917940100034,0.11003606352541181,0.5550180317627059,0,0.0,0,2
14132,162,https://www.bis.org/review/r180411a.htm,Jessica Chew Cheng Lian: Generating new solutions for remittances in Malaysia,"Remarks by Ms Jessica Chew Cheng Lian, Assistant Governor of the Central Bank of Malaysia, at the Launch of Project Greenback 2.0 Kota Kinabalu, Kota Kinabalu, 4 March 2018.",2018-03-04 00:00:00,Jessica Chew Cheng Lian,r180411a,1.3221416060741131,0.2044693369131822,0.6022346684565911,0,0.0,0,1
14433,463,https://www.bis.org/review/r180815c.htm,Luci Ellis: How infrastructure fits in,"Speech by Ms Luci Ellis, Assistant Governor (Economic) of the Reserve Bank of Australia, at the Infrastructure Partnerships Australia (IPA) Leaders' Luncheon, Sydney, 15 June 2018.",2018-06-15 00:00:00,Luci Ellis,r180815c,1.1416400923178749,0.1321797027037694,0.5660898513518847,0,0.0,0,2
14442,472,https://www.bis.org/review/r180814g.htm,Jacqueline Loh: Unlocking insurance linked securities growth through Asia,"Opening speech by Ms Jacqueline Loh, Deputy Managing Director of the Monetary Authority of Singapore, at the Artemis ILS Asia 2018 Conference, Singapore, 12 July 2018.",2018-07-12 00:00:00,Jacqueline Loh,r180814g,0.9415292999018794,0.02806101674618928,0.5140305083730946,0,0.0,0,2
15639,746,https://www.bis.org/review/r191017f.htm,Joachim Wuermeling: A new world ahead. What do sustainable finance and digitalisation mean for supervision?,"Keynote speech by Prof Joachim Wuermeling, Member of the Executive Board of the Deutsche Bundesbank, at the occasion of the European Supervisor Education Initiative (ESE) conference, Munich, 17 October 2019.",2019-10-17 00:00:00,Joachim Wuermeling,r191017f,1.2250236173470814,0.11582804719607036,0.5579140235980352,0,0.0,0,1
17116,501,http://www.bis.org/review/r211109f.htm,Edmond Lau: LIBOR transition and sustainable finance,"Keynote address by Mr Edmond Lau, Senior Executive Director of the Hong Kong Monetary Authority, at the 2021 International Swaps and Derivatives Association (ISDA) Asia-Pacific Conference, 19 October 2021.",2021-10-19 00:00:00,Edmond Lau,r211109f,1.8534057699143889,0.4587152414023876,0.7293576207011938,0,0.0,0,1
17137,522,http://www.bis.org/review/r211125c.htm,"Ravi Menon: ""Chongqing connectivity in digitalisation and sustainability""","Keynote speech by Mr Ravi Menon, Managing Director of the Monetary Authority of Singapore, at the Singapore-China (Chongqing) Financial Summit, 23 November 2021.",2021-11-23 00:00:00,Ravi Menon,r211125c,1.312662015358607,0.1667137642701467,0.5833568821350733,0,0.0,0,1
17352,65,http://www.bis.org/review/r220225d.htm,Abdul Rasheed Ghaffour: Connecting the dots - harnessing Islamic Finance to accelerate Sustainable Development Goal achievements,"Keynote address by Mr Abdul Rasheed Ghaffour, Deputy Governor of the Central Bank of Malaysia (Bank Negara Malaysia), at the United Nations Development Programme (UNDP) Islamic Finance International Conference, virtual, 24 Feb 2022.",2022-02-24 23:00:00,Abdul Rasheed Ghaffour,r220225d,1.5787900586922965,0.31492088238398236,0.6574604411919912,0,0.0,0,1
17458,171,http://www.bis.org/review/r220504b.htm,Ida Wolden Bache: Norges Bank's management of the Government Pension Fund Global,"Introductory statement by Ms Ida Wolden Bache, Governor of the Norges Bank, at the hearing of the Standing Committee on Finance and Economic Affairs of the Storting (Norwegian parliament), 3 May 2022.",2022-05-03 00:00:00,Ida Wolden Bache,r220504b,1.1828279224309055,0.09379041736776178,0.5468952086838809,0,0.0,0,1
17582,295,http://www.bis.org/review/r220624d.htm,Adnan Zaylani Mohamad Zahid: Signing of the First ESG Islamic Repurchasing Agreement,"Welcoming remarks by Mr Adnan Zaylani Mohamad Zahid, Assistant Governor of the Central Bank of Malaysia (Bank Negara Malaysia), at the signing of the First ESG Islamic Repurchasing Agreement, Kuala Lumpur, 17 June 2022.",2022-06-17 00:00:00,Adnan Zaylani Mohamad Zahid,r220624d,1.674213081598282,0.3569839696089427,0.6784919848044714,0,0.0,0,1
