,id,paragraph
0,r221205a,(cid:29)
1,r221205a,"(cid:0)(cid:2)(cid:2)(cid:3)(cid:4)(cid:5)(cid:2)(cid:6)(cid:7)(cid:8)(cid:7)(cid:9)(cid:10)(cid:4)(cid:11)(cid:4)(cid:12)(cid:5)(cid:4)(cid:3)(cid:13)(cid:14)(cid:8)(cid:9)(cid:15)(cid:16)(cid:13)(cid:3)(cid:4)(cid:16)(cid:2)(cid:4)(cid:17)(cid:13)(cid:4)(cid:12)(cid:16)(cid:4)(cid:16)(cid:15)(cid:13)(cid:4)(cid:11)(cid:7)(cid:18)(cid:16)(cid:8)(cid:16)(cid:19)(cid:16)(cid:13)(cid:4)(cid:2)(cid:20)(cid:4)(cid:11)(cid:7)(cid:16)(cid:13)(cid:6)(cid:7)(cid:12)(cid:16)(cid:8)(cid:2)(cid:7)(cid:12)(cid:14)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:21)(cid:19)(cid:6)(cid:2)(cid:22)(cid:13)(cid:12)(cid:7)(cid:4)(cid:23)(cid:20)(cid:20)(cid:12)(cid:8)(cid:6)(cid:18)(cid:4)(cid:16)(cid:2)(cid:3)(cid:12)(cid:24)(cid:4)(cid:16)(cid:2) (cid:18)(cid:15)(cid:12)(cid:6)(cid:13)(cid:4)(cid:5)(cid:24)(cid:4)(cid:25)(cid:8)(cid:13)(cid:26)(cid:18)(cid:4)(cid:2)(cid:7)(cid:4)(cid:16)(cid:15)(cid:13)(cid:4)(cid:2)(cid:19)(cid:16)(cid:14)(cid:2)(cid:2)(cid:27)(cid:4)(cid:20)(cid:2)(cid:6)(cid:4)(cid:5)(cid:2)(cid:7)(cid:13)(cid:16)(cid:12)(cid:6)(cid:24)(cid:4)(cid:22)(cid:2)(cid:14)(cid:8)(cid:28)(cid:24)(cid:10) G013HF(cid:4)IJ72(cid:4)307(cid:4)6=2:K=;L(cid:4)M=;7312N(cid:4)O=9:AN(cid:4):; (cid:30)(cid:19)(cid:22)(cid:22)(cid:14)(cid:24)(cid:4)(cid:28)(cid:15)(cid:12)(cid:8)(cid:7)(cid:4)(cid:3)(cid:8)(cid:18)(cid:6)(cid:19)(cid:22)(cid:16)(cid:8)(cid:2)(cid:7)(cid:18)(cid:31)(cid:4)(cid:12)(cid:4)(cid:6)(cid:12)(cid:22)(cid:8)(cid:3)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:18)(cid:16)(cid:6)(cid:2)(cid:7)(cid:9)(cid:4)(cid:22)(cid:2)(cid:18)(cid:16) (cid:22)(cid:12)(cid:7)(cid:3)(cid:13)(cid:5)(cid:8)(cid:28)(cid:4)(cid:6)(cid:13)(cid:17)(cid:2)(cid:19)(cid:7)(cid:3)(cid:4)(cid:8)(cid:7)(cid:4)(cid:3)(cid:13)(cid:5)(cid:12)(cid:7)(cid:3)(cid:31)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:26)(cid:12)(cid:6) (cid:6)(cid:13)(cid:14)(cid:12)(cid:16)(cid:13)(cid:3) PQPR(cid:4)1;8(cid:4)S7N=;8(cid:4)T(cid:4)U7V12WF(cid:4)XN(cid:4)Y=J72;=2 (cid:13)(cid:7)(cid:13)(cid:6)(cid:9)(cid:24)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:20)(cid:2)(cid:2)(cid:3)(cid:4)(cid:22)(cid:6)(cid:8)(cid:28)(cid:13)(cid:4)(cid:18)(cid:15)(cid:2)(cid:28)(cid:27)(cid:18)(cid:4)(cid:12)(cid:6)(cid:13)(cid:4)(cid:28)(cid:2)(cid:7)(cid:16)(cid:6)(cid:8)(cid:17)(cid:19)(cid:16)(cid:8)(cid:7)(cid:9)(cid:4)(cid:16)(cid:2)(cid:4)(cid:19)(cid:7)(cid:12)(cid:28)(cid:28)(cid:13)(cid:22)(cid:16)(cid:12)(cid:17)(cid:14)(cid:24)(cid:4)(cid:15)(cid:8)(cid:9)(cid:15)(cid:4)(cid:14)(cid:13)(cid:25)(cid:13)(cid:14)(cid:18)(cid:4)(cid:2)(cid:20)(cid:4)(cid:8)(cid:7)(cid:20)(cid:14)(cid:12)(cid:16)(cid:8)(cid:2)(cid:7)(cid:4)(cid:8)(cid:7)(cid:4)(cid:11)(cid:6)(cid:13)(cid:14)(cid:12)(cid:7)(cid:3) (cid:12)(cid:7)(cid:3)(cid:4)(cid:16)(cid:15)(cid:13)(cid:4)(cid:13)(cid:19)(cid:6)(cid:2)(cid:4)(cid:12)(cid:6)(cid:13)(cid:12)(cid:10) M1W09=?<(cid:4)13(cid:4)ZZE[(cid:4)\?X9:; (cid:11)(cid:7)(cid:20)(cid:14)(cid:12)(cid:16)(cid:8)(cid:2)(cid:7)(cid:4)(cid:8)(cid:18)(cid:4)(cid:20)(cid:12)(cid:6)(cid:4)(cid:8)(cid:7)(cid:4)(cid:13)!(cid:28)(cid:13)(cid:18)(cid:18)(cid:4)(cid:2)(cid:20)(cid:4)(cid:2)(cid:19)(cid:6)(cid:4)""#(cid:4)(cid:16)(cid:12)(cid:6)(cid:9)(cid:13)(cid:16)(cid:31)(cid:4)(cid:12)(cid:16)(cid:4)$#(cid:4)(cid:8)(cid:7)(cid:4)(cid:11)(cid:6)(cid:13)(cid:14)(cid:12)(cid:7)(cid:3)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:29)%#(cid:4)(cid:8)(cid:7)(cid:4)(cid:16)(cid:15)(cid:13)(cid:4)(cid:13)(cid:19)(cid:6)(cid:2)(cid:4)(cid:12)(cid:6)(cid:13)(cid:12)(cid:4)(cid:12)(cid:18)(cid:4)(cid:12)(cid:4)(cid:26)(cid:15)(cid:2)(cid:14)(cid:13)(cid:4)(cid:8)(cid:7) &(cid:2)(cid:25)(cid:13)(cid:5)(cid:17)(cid:13)(cid:6)(cid:10)(cid:4)(cid:4)(cid:30)(cid:2)(cid:5)(cid:13)(cid:4)(cid:13)(cid:19)(cid:6)(cid:2)(cid:4)(cid:12)(cid:6)(cid:13)(cid:12)(cid:4)(cid:28)(cid:2)(cid:19)(cid:7)(cid:16)(cid:6)(cid:8)(cid:13)(cid:18)(cid:4)(cid:12)(cid:6)(cid:13)(cid:4)(cid:13)!(cid:22)(cid:13)(cid:6)(cid:8)(cid:13)(cid:7)(cid:28)(cid:8)(cid:7)(cid:9)(cid:4)(cid:8)(cid:7)(cid:20)(cid:14)(cid:12)(cid:16)(cid:8)(cid:2)(cid:7)(cid:4)(cid:12)(cid:17)(cid:2)(cid:25)(cid:13)(cid:4)""%#(cid:31)(cid:4)(cid:8)(cid:7)(cid:4)(cid:22)(cid:12)(cid:6)(cid:16)(cid:4)(cid:17)(cid:13)(cid:28)(cid:12)(cid:19)(cid:18)(cid:13)(cid:4)(cid:2)(cid:20)(cid:4)(cid:12) (cid:9)(cid:6)(cid:13)(cid:12)(cid:16)(cid:13)(cid:6)(cid:4)(cid:13)!(cid:22)(cid:2)(cid:18)(cid:19)(cid:6)(cid:13)(cid:4)(cid:16)(cid:2)(cid:4)’(cid:19)(cid:18)(cid:18)(cid:8)(cid:12)(cid:7)(cid:4)(cid:13)(cid:7)(cid:13)(cid:6)(cid:9)(cid:24)(cid:4)(cid:8)(cid:5)(cid:22)(cid:2)(cid:6)(cid:16)(cid:18)(cid:10)"
2,r221205a,""""
3,r221205a,"((cid:8)(cid:9)(cid:15)(cid:4)(cid:8)(cid:7)(cid:20)(cid:14)(cid:12)(cid:16)(cid:8)(cid:2)(cid:7)(cid:4)(cid:8)(cid:18)(cid:4)(cid:13)(cid:6)(cid:2)(cid:3)(cid:8)(cid:7)(cid:9)(cid:4)(cid:6)(cid:13)(cid:12)(cid:14)(cid:4)(cid:8)(cid:7)(cid:28)(cid:2)(cid:5)(cid:13)(cid:18)(cid:31)(cid:4)(cid:16)(cid:15)(cid:6)(cid:13)(cid:12)(cid:16)(cid:13)(cid:7)(cid:8)(cid:7)(cid:9)(cid:4)(cid:6)(cid:13)(cid:18)(cid:8)(cid:14)(cid:8)(cid:13)(cid:7)(cid:28)(cid:13)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:13)(cid:28)(cid:2)(cid:7)(cid:2)(cid:5)(cid:8)(cid:28)(cid:4)(cid:18)(cid:16)(cid:12)(cid:17)(cid:8)(cid:14)(cid:8)(cid:16)(cid:24)(cid:31)(cid:4)(cid:26)(cid:15)(cid:8)(cid:14)(cid:13)(cid:4)(cid:16)(cid:8)(cid:9)(cid:15)(cid:16)(cid:13)(cid:6) (cid:20)(cid:8)(cid:7)(cid:12)(cid:7)(cid:28)(cid:8)(cid:12)(cid:14)(cid:4)(cid:28)(cid:2)(cid:7)(cid:3)(cid:8)(cid:16)(cid:8)(cid:2)(cid:7)(cid:18)(cid:4)(cid:12)(cid:6)(cid:13)(cid:4)(cid:8)(cid:7)(cid:28)(cid:6)(cid:13)(cid:12)(cid:18)(cid:8)(cid:7)(cid:9)(cid:4)(cid:16)(cid:15)(cid:13)(cid:4)(cid:28)(cid:2)(cid:18)(cid:16)(cid:4)(cid:2)(cid:20)(cid:4)(cid:28)(cid:6)(cid:13)(cid:3)(cid:8)(cid:16)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:22)(cid:19)(cid:16)(cid:16)(cid:8)(cid:7)(cid:9)(cid:4)(cid:3)(cid:2)(cid:26)(cid:7)(cid:26)(cid:12)(cid:6)(cid:3)(cid:4)(cid:22)(cid:6)(cid:13)(cid:18)(cid:18)(cid:19)(cid:6)(cid:13)(cid:4)(cid:2)(cid:7)(cid:4)(cid:12)(cid:18)(cid:18)(cid:13)(cid:16) (cid:4))(cid:15)(cid:13)(cid:4)(cid:21)*+(cid:31)(cid:4)(cid:14)(cid:8)(cid:27)(cid:13)(cid:4)(cid:2)(cid:16)(cid:15)(cid:13)(cid:6)(cid:4)(cid:28)(cid:13)(cid:7)(cid:16)(cid:6)(cid:12)(cid:14)(cid:4)(cid:17)(cid:12)(cid:7)(cid:27)(cid:18)(cid:4)(cid:9)(cid:14)(cid:2)(cid:17)(cid:12)(cid:14)(cid:14)(cid:24)(cid:31)(cid:4)(cid:15)(cid:12)(cid:18)(cid:4)(cid:6)(cid:12)(cid:8)(cid:18)(cid:13)(cid:3)(cid:4)(cid:8)(cid:7)(cid:16)(cid:13)(cid:6)(cid:13)(cid:18)(cid:16)(cid:4)(cid:6)(cid:12)(cid:16)(cid:13)(cid:18)(cid:4)(cid:12)(cid:16)(cid:4)(cid:12)(cid:7)(cid:4)(cid:19)(cid:7)(cid:22)(cid:6)(cid:13)(cid:28)(cid:13)(cid:3)(cid:13)(cid:7)(cid:16)(cid:13)(cid:3) (cid:25)(cid:12)(cid:14)(cid:19)(cid:13)(cid:18)(cid:10) (cid:22)(cid:12)(cid:28)(cid:13)(cid:4)(cid:8)(cid:7)(cid:4)(cid:2)(cid:6)(cid:3)(cid:13)(cid:6)(cid:4)(cid:16)(cid:2)(cid:4)(cid:17)(cid:6)(cid:8)(cid:7)(cid:9)(cid:4)(cid:18)(cid:19)(cid:22)(cid:22)(cid:14)(cid:24)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:3)(cid:13)(cid:5)(cid:12)(cid:7)(cid:3)(cid:4)(cid:17)(cid:12)(cid:28)(cid:27)(cid:4)(cid:8)(cid:7)(cid:16)(cid:2)(cid:4)(cid:17)(cid:12)(cid:14)(cid:12)(cid:7)(cid:28)(cid:13)(cid:31)(cid:4)(cid:12)(cid:7)(cid:3)(cid:4)(cid:6)(cid:13)(cid:16)(cid:19)(cid:6)(cid:7)(cid:4)(cid:8)(cid:7)(cid:20)(cid:14)(cid:12)(cid:16)(cid:8)(cid:2)(cid:7)(cid:4)(cid:18)(cid:19)(cid:18)(cid:16)(cid:12)(cid:8)(cid:7)(cid:12)(cid:17)(cid:14)(cid:24)(cid:4)(cid:17)(cid:12)(cid:28)(cid:27) (cid:16)(cid:2)(cid:4)(cid:2)(cid:19)(cid:6)(cid:4)""#(cid:4)(cid:16)(cid:12)(cid:6)(cid:9)(cid:13)(cid:16)(cid:10)(cid:4)(cid:4))(cid:15)(cid:13)(cid:4)(cid:5)(cid:12)(cid:8)(cid:7)(cid:4)(cid:21)*+(cid:4)(cid:22)(cid:2)(cid:14)(cid:8)(cid:28)(cid:24)(cid:4)(cid:6)(cid:12)(cid:16)(cid:13)(cid:4)(cid:15)(cid:12)(cid:18)(cid:4)(cid:8)(cid:7)(cid:28)(cid:6)(cid:13)(cid:12)(cid:18)(cid:13)(cid:3)(cid:4)(cid:20)(cid:6)(cid:2)(cid:5)(cid:4) %(cid:10),#(cid:4)(cid:8)(cid:7)(cid:4)-(cid:19)(cid:7)(cid:13)(cid:4)(cid:16)(cid:2)(cid:4)(cid:29)(cid:10),#(cid:4)(cid:8)(cid:7)(cid:4).(cid:28)(cid:16)(cid:2)(cid:17)(cid:13)(cid:6)(cid:31) (cid:26)(cid:8)(cid:16)(cid:15)(cid:4)(cid:20)(cid:19)(cid:6)(cid:16)(cid:15)(cid:13)(cid:6)(cid:4)(cid:8)(cid:7)(cid:28)(cid:6)(cid:13)(cid:12)(cid:18)(cid:13)(cid:18)(cid:4)(cid:14)(cid:8)(cid:27)(cid:13)(cid:14)(cid:24)(cid:10)(cid:4)"
4,r221205a,(cid:4)
5,r221205a,/0123(cid:4)45(cid:4)67189:;7(cid:4):;<913:=;(cid:4)>1;;?19(cid:4)@72A7;31B7(cid:4)A01;B7C
6,r221205a,D=?2A75(cid:4)E?2=F313
7,r221205a,(cid:0)
8,r221205a,(cid:2)(cid:3)(cid:0)(cid:4)(cid:0)(cid:3)(cid:5)(cid:6)(cid:7)(cid:0)(cid:6)(cid:8)(cid:0)(cid:5)(cid:0)(cid:9)(cid:10)(cid:11)(cid:10)(cid:8)(cid:12)(cid:0)(cid:3)(cid:13)(cid:10)(cid:10)(cid:11)(cid:14)(cid:0)(cid:5)(cid:12)(cid:0)(cid:15)(cid:16)(cid:11)(cid:6)(cid:5)(cid:17)(cid:0)(cid:18)(cid:19)(cid:3)(cid:12)(cid:6)(cid:11)(cid:10)(cid:0)(cid:4)(cid:9)(cid:10)(cid:17)(cid:5)(cid:8)(cid:7)(cid:20)(cid:0)(cid:21)(cid:16)(cid:9)(cid:0)(cid:22)(cid:16)(cid:8)(cid:10)(cid:12)(cid:5)(cid:9)(cid:23)(cid:0)(cid:13)(cid:16)(cid:17)(cid:6)(cid:11)(cid:23)(cid:0)(cid:12)(cid:16)(cid:0)(cid:24)(cid:10)(cid:0)(cid:10)(cid:21)(cid:21)(cid:10)(cid:11)(cid:12)(cid:6)(cid:25)(cid:10)(cid:0)(cid:6)(cid:12)(cid:0)(cid:14)(cid:5)(cid:3)(cid:0)(cid:12)(cid:16)(cid:0)(cid:24)(cid:10) (cid:11)(cid:9)(cid:10)(cid:7)(cid:6)(cid:24)(cid:17)(cid:10)(cid:20)(cid:0)(cid:5)(cid:8)(cid:7)(cid:0)(cid:11)(cid:9)(cid:10)(cid:7)(cid:6)(cid:24)(cid:6)(cid:17)(cid:6)(cid:12)(cid:23)(cid:0)(cid:5)(cid:8)(cid:7)(cid:0)(cid:11)(cid:17)(cid:10)(cid:5)(cid:9)(cid:0)(cid:11)(cid:16)(cid:22)(cid:22)(cid:19)(cid:8)(cid:6)(cid:11)(cid:5)(cid:12)(cid:6)(cid:16)(cid:8)(cid:0)(cid:26)(cid:16)(cid:0)(cid:14)(cid:5)(cid:8)(cid:7)(cid:27)(cid:6)(cid:8)(cid:27)(cid:14)(cid:5)(cid:8)(cid:7)(cid:28)(cid:0)(cid:0)(cid:2)(cid:8)(cid:7)(cid:20)(cid:0)(cid:29)(cid:6)(cid:12)(cid:14)(cid:0)(cid:12)(cid:14)(cid:5)(cid:12)(cid:0)(cid:6)(cid:8)(cid:0)(cid:22)(cid:6)(cid:8)(cid:7)(cid:20)(cid:0)(cid:12)(cid:16)(cid:7)(cid:5)(cid:23)(cid:0)(cid:4) (cid:29)(cid:6)(cid:17)(cid:17)(cid:0)(cid:22)(cid:5)(cid:30)(cid:10)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:21)(cid:16)(cid:17)(cid:17)(cid:16)(cid:29)(cid:6)(cid:8)(cid:26)(cid:0)(cid:13)(cid:16)(cid:6)(cid:8)(cid:12)(cid:3)(cid:28)
9,r221205a,"(cid:31)(cid:6)(cid:9)(cid:3)(cid:12)(cid:20)(cid:0)(cid:12)(cid:16)(cid:0)(cid:11)(cid:16)(cid:8)(cid:12)(cid:6)(cid:8)(cid:19)(cid:10)(cid:0)(cid:16)(cid:8)(cid:0)(cid:16)(cid:19)(cid:9)(cid:0)(cid:13)(cid:5)(cid:12)(cid:14)(cid:0)(cid:12)(cid:16)(cid:0)(cid:24)(cid:9)(cid:6)(cid:8)(cid:26)(cid:0)(cid:6)(cid:8)(cid:21)(cid:17)(cid:5)(cid:12)(cid:6)(cid:16)(cid:8)(cid:0)(cid:24)(cid:5)(cid:11)(cid:30)(cid:0)(cid:12)(cid:16)(cid:0)(cid:16)(cid:19)(cid:9)(cid:0) !(cid:0)(cid:12)(cid:5)(cid:9)(cid:26)(cid:10)(cid:12)(cid:20)(cid:0)(cid:4)(cid:0)(cid:3)(cid:10)(cid:10)(cid:0)(cid:5)(cid:0)""#(cid:0)(cid:24)(cid:5)(cid:3)(cid:6)(cid:3) (cid:13)(cid:16)(cid:6)(cid:8)(cid:12)(cid:0)(cid:6)(cid:8)(cid:11)(cid:9)(cid:10)(cid:5)(cid:3)(cid:10)(cid:0)(cid:6)(cid:8)(cid:0)(cid:6)(cid:8)(cid:12)(cid:10)(cid:9)(cid:10)(cid:3)(cid:12)(cid:0)(cid:9)(cid:5)(cid:12)(cid:10)(cid:3)(cid:0)(cid:5)(cid:3)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:22)(cid:6)(cid:8)(cid:6)(cid:22)(cid:19)(cid:22)(cid:0)(cid:8)(cid:10)(cid:10)(cid:7)(cid:10)(cid:7)(cid:0)(cid:5)(cid:12)(cid:0)(cid:16)(cid:19)(cid:9)(cid:0)$(cid:10)(cid:11)(cid:10)(cid:22)(cid:24)(cid:10)(cid:9)(cid:0)(cid:22)(cid:10)(cid:10)(cid:12)(cid:6)(cid:8)(cid:26)(cid:28)(cid:0)(cid:0)(cid:0) (cid:0) (cid:15)(cid:10)(cid:11)(cid:16)(cid:8)(cid:7)(cid:20)(cid:0)(cid:14)(cid:16)(cid:29)(cid:0)(cid:22)(cid:19)(cid:11)(cid:14)(cid:0)(cid:21)(cid:19)(cid:9)(cid:12)(cid:14)(cid:10)(cid:9)(cid:0)(cid:7)(cid:16)(cid:0)(cid:29)(cid:10)(cid:0)(cid:8)(cid:10)(cid:10)(cid:7)(cid:0)(cid:12)(cid:16)(cid:0)(cid:26)(cid:16)(cid:0)(cid:6)(cid:8)(cid:0)(cid:12)(cid:10)(cid:9)(cid:22)(cid:3)(cid:0)(cid:16)(cid:21)(cid:0)(cid:6)(cid:8)(cid:12)(cid:10)(cid:9)(cid:10)(cid:3)(cid:12)(cid:0)(cid:9)(cid:5)(cid:12)(cid:10)(cid:0)(cid:6)(cid:8)(cid:11)(cid:9)(cid:10)(cid:5)(cid:3)(cid:10)(cid:3)(cid:0)(cid:6)(cid:8)(cid:0) # %&(cid:0) ’(cid:10)(cid:0)(cid:14)(cid:5)(cid:25)(cid:10)(cid:0)(cid:12)(cid:16)(cid:0)(cid:24)(cid:10)(cid:0)(cid:16)(cid:13)(cid:10)(cid:8)(cid:0)(cid:12)(cid:16)(cid:0)(cid:13)(cid:16)(cid:17)(cid:6)(cid:11)(cid:23)(cid:0)(cid:9)(cid:5)(cid:12)(cid:10)(cid:3)(cid:0)(cid:22)(cid:16)(cid:25)(cid:6)(cid:8)(cid:26)(cid:0)(cid:6)(cid:8)(cid:12)(cid:16)(cid:0)(cid:9)(cid:10)(cid:3)(cid:12)(cid:9)(cid:6)(cid:11)(cid:12)(cid:6)(cid:25)(cid:10)(cid:0)(cid:12)(cid:10)(cid:9)(cid:9)(cid:6)(cid:12)(cid:16)(cid:9)(cid:23)(cid:0)(cid:21)(cid:16)(cid:9)(cid:0)(cid:5)(cid:0)(cid:13)(cid:10)(cid:9)(cid:6)(cid:16)(cid:7)(cid:28)(cid:0)(cid:0)(cid:4)(cid:12)(cid:0)(cid:6)(cid:3) (cid:13)(cid:9)(cid:10)(cid:22)(cid:5)(cid:12)(cid:19)(cid:9)(cid:10)(cid:0)(cid:12)(cid:16)(cid:0)(cid:24)(cid:10)(cid:0)(cid:12)(cid:5)(cid:17)(cid:30)(cid:6)(cid:8)(cid:26)(cid:0)(cid:5)(cid:24)(cid:16)(cid:19)(cid:12)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:10)(cid:8)(cid:7)(cid:27)(cid:13)(cid:16)(cid:6)(cid:8)(cid:12)(cid:0)(cid:21)(cid:16)(cid:9)(cid:0)(cid:13)(cid:16)(cid:17)(cid:6)(cid:11)(cid:23)(cid:0)(cid:9)(cid:5)(cid:12)(cid:10)(cid:3)(cid:0)(cid:5)(cid:22)(cid:6)(cid:7)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:13)(cid:9)(cid:10)(cid:25)(cid:5)(cid:6)(cid:17)(cid:6)(cid:8)(cid:26)(cid:0)(cid:17)(cid:10)(cid:25)(cid:10)(cid:17)(cid:3)(cid:0)(cid:16)(cid:21) (cid:19)(cid:8)(cid:11)(cid:10)(cid:9)(cid:12)(cid:5)(cid:6)(cid:8)(cid:12)(cid:23)(cid:28)(cid:0) (cid:0) ((cid:14)(cid:6)(cid:9)(cid:7)(cid:20)(cid:0)(cid:29)(cid:14)(cid:6)(cid:17)(cid:10)(cid:0)(cid:22)(cid:16)(cid:3)(cid:12)(cid:0)(cid:16)(cid:21)(cid:0)(cid:22)(cid:23)(cid:0)(cid:9)(cid:10)(cid:22)(cid:5)(cid:9)(cid:30)(cid:3)(cid:0)(cid:12)(cid:16)(cid:7)(cid:5)(cid:23)(cid:0)(cid:9)(cid:10)(cid:17)(cid:5)(cid:12)(cid:10)(cid:0)(cid:12)(cid:16)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0))*+(cid:0)(cid:6)(cid:8)(cid:12)(cid:10)(cid:9)(cid:10)(cid:3)(cid:12)(cid:0)(cid:9)(cid:5)(cid:12)(cid:10)(cid:3)(cid:20)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0),(cid:19)(cid:10)(cid:3)(cid:12)(cid:6)(cid:16)(cid:8)(cid:0)(cid:16)(cid:21) (cid:12)(cid:14)(cid:10)(cid:0)(cid:3)(cid:6)-(cid:10)(cid:0)(cid:16)(cid:21)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0))*+(cid:0)(cid:24)(cid:5)(cid:17)(cid:5)(cid:8)(cid:11)(cid:10)(cid:0)(cid:3)(cid:14)(cid:10)(cid:10)(cid:12)(cid:0)(cid:29)(cid:6)(cid:17)(cid:17)(cid:0)(cid:24)(cid:10)(cid:0)(cid:13)(cid:5)(cid:9)(cid:12)(cid:0)(cid:16)(cid:21)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:13)(cid:16)(cid:17)(cid:6)(cid:11)(cid:23)(cid:0)(cid:7)(cid:6)(cid:3)(cid:11)(cid:19)(cid:3)(cid:3)(cid:6)(cid:16)(cid:8)(cid:0)(cid:5)(cid:12)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)$(cid:10)(cid:11)(cid:10)(cid:22)(cid:24)(cid:10)(cid:9) (cid:22)(cid:10)(cid:10)(cid:12)(cid:6)(cid:8)(cid:26)(cid:20)(cid:0)(cid:5)(cid:8)(cid:7)(cid:0)(cid:4)(cid:0)(cid:29)(cid:5)(cid:8)(cid:12)(cid:0)(cid:12)(cid:16)(cid:0)(cid:3)(cid:5)(cid:23)(cid:0)(cid:16)(cid:8)(cid:10)(cid:0)(cid:12)(cid:14)(cid:6)(cid:8)(cid:26)(cid:0)(cid:5)(cid:24)(cid:16)(cid:19)(cid:12)(cid:0)(cid:12)(cid:14)(cid:6)(cid:3)(cid:28)(cid:0)(cid:0)((cid:14)(cid:10)(cid:9)(cid:10)(cid:0)(cid:5)(cid:9)(cid:10)(cid:0)(cid:11)(cid:16)(cid:22)(cid:13)(cid:17)(cid:10).(cid:0)(cid:6)(cid:3)(cid:3)(cid:19)(cid:10)(cid:3)(cid:0)(cid:6)(cid:8)(cid:25)(cid:16)(cid:17)(cid:25)(cid:10)(cid:7)(cid:20)(cid:0)(cid:24)(cid:19)(cid:12) (cid:12)(cid:14)(cid:10)(cid:0)/(cid:19)(cid:3)(cid:12)(cid:6)(cid:21)(cid:6)(cid:11)(cid:5)(cid:12)(cid:6)(cid:16)(cid:8)(cid:0)(cid:21)(cid:16)(cid:9)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:10).(cid:13)(cid:5)(cid:8)(cid:3)(cid:6)(cid:16)(cid:8)(cid:0)(cid:16)(cid:21)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:24)(cid:5)(cid:17)(cid:5)(cid:8)(cid:11)(cid:10)(cid:0)(cid:3)(cid:14)(cid:10)(cid:10)(cid:12)(cid:0)0(cid:0)(cid:12)(cid:16)(cid:16)(cid:0)(cid:17)(cid:16)(cid:29)(cid:0)(cid:6)(cid:8)(cid:21)(cid:17)(cid:5)(cid:12)(cid:6)(cid:16)(cid:8)(cid:0)(cid:5)(cid:8)(cid:7)(cid:0)(cid:12)(cid:14)(cid:10)(cid:0)(cid:9)(cid:6)(cid:3)(cid:30)(cid:0)(cid:16)(cid:21) (cid:7)(cid:10)(cid:21)(cid:17)(cid:5)(cid:12)(cid:6)(cid:16)(cid:8)(cid:0)0(cid:0)(cid:14)(cid:5)(cid:3)(cid:0)(cid:10)(cid:8)(cid:7)(cid:10)(cid:7)(cid:20)(cid:0)(cid:5)(cid:8)(cid:7)(cid:0)(cid:6)(cid:12)(cid:0)(cid:6)(cid:3)(cid:0)(cid:12)(cid:6)(cid:22)(cid:10)(cid:0)(cid:12)(cid:16)(cid:0)(cid:17)(cid:16)(cid:16)(cid:30)(cid:0)(cid:5)(cid:12)(cid:0)(cid:9)(cid:10)(cid:7)(cid:19)(cid:11)(cid:6)(cid:8)(cid:26)(cid:0)(cid:6)(cid:12)(cid:3)(cid:0)(cid:3)(cid:6)-(cid:10)(cid:28)(cid:0)(cid:0)"
