,id,paragraph
0,r221207d,SPEECH
1,r221207d,Crypto dominos: the bursting crypto bubbles and the destiny of digital finance
2,r221207d,"Keynote speech by Fabio Panetta, Member of the Executive Board of the ECB, at the Insight Summit held at the London Business School"
3,r221207d,"London, 7 December 2022 It is a true pleasure to be back at the London Business School.[ ] I did my PhD here many years ago. As soon as I arrived, I found myself immersed in an environment where pioneering academic research and economic analysis were carried out in a friendly atmosphere. In those years I learned not only to be rigorous in doing research, but also the importance of doing one’s job with enthusiasm."
4,r221207d,1
5,r221207d,"I still have vivid memories of stimulating and motivating discussions with my fellow students and the faculty. I am particularly grateful to my PhD supervisor and dear friend, Professor Richard Brealey."
6,r221207d,"Moving from the past to the future, today I will discuss crypto-assets and the destiny of digital finance."
7,r221207d,"When I last spoke about crypto finance at Columbia University last April, I likened it to the Wild West and warned about the risks stemming from irrational exuberance among investors, negative externalities and the lack of regulation.["
8,r221207d,2
9,r221207d,]
10,r221207d,"Crypto markets have since witnessed a number of painful bankruptcies. The crypto dominos are falling, sending shockwaves through the entire crypto universe, including stablecoins and decentralised finance (DeFi).["
11,r221207d,3
12,r221207d,]
13,r221207d,"The crash of TerraUSD, then the world’s third-largest stablecoin, and the recent bankruptcy of the leading crypto exchange FTX and 130 affiliated companies each took only a few days to unfold. This is not just a bubble that is bursting. It is like froth: multiple bubbles are bursting one after another."
14,r221207d,Investors’ fear of missing out seems to have morphed into a fear of not getting out.
15,r221207d,"The sell-off is exposing those “swimming naked”.[ governance practices across a number of crypto firms. It has revealed that some investors have been acting carelessly by investing blindly without proper due diligence. And similar to the sub-prime crisis, the crash has uncovered the interconnections and opaque structures within the crypto house of cards."
16,r221207d,] It has laid bare some unbelievably poor business and
17,r221207d,4
18,r221207d,"This is set to dampen enthusiasm in the belief that technology can free finance from scrutiny. The crash has served as a cautionary reminder that finance cannot be trustless and stable at the same time. Trust cannot be replaced by religious faith in an algorithm. It requires transparency, regulatory safeguards and scrutiny."
19,r221207d,"Does this mean we are witnessing the endgame for crypto? Probably not. People like to gamble. On horse races, football games and many other events. And some investors will continue to gamble by taking speculative positions on crypto-assets."
20,r221207d,Today I will argue that the fundamental flaws of crypto-assets mean that they can quickly collapse when irrational exuberance subsides. We should therefore focus on protecting inexperienced investors and preserving the stability of the financial system.
21,r221207d,"Ensuring that crypto-assets are subject to adequate regulation and taxation is one path to achieving this. Here, we need to move rapidly from debate to decision and then implementation."
22,r221207d,"But even regulation will not be enough to address the shortcomings of cryptos. To harness the possibilities of digital technologies, we must provide solid foundations for the broader digital finance ecosystem."
23,r221207d,"This requires a risk-free and dependable digital settlement asset, which only central bank money can provide. And that is why the ECB is working on a digital euro while also considering new technologies for the future of wholesale settlement in central bank money."
24,r221207d,Fundamental flaws in crypto finance
25,r221207d,"The philosophy behind cryptos is that digital technology can replace regulated intermediaries and avoid state “intrusion”. In other words, that it is possible to build a trustless but stable financial system based on technology."
26,r221207d,"This is just an illusion, as was clear from the outset and confirmed by recent developments. In fact, it is precisely the absence of regulation and public scrutiny that blinded investors to the risks involved, leading to the rise and subsequent fall of crypto-assets."
27,r221207d,The risks associated with crypto finance stem from three fundamental flaws. I will address each of them in turn.
28,r221207d,Unbacked crypto-assets offer no benefits to society
29,r221207d,The main structural flaw of unbacked crypto-assets – which form the bulk of the crypto market (Chart 1) – is that they do not offer any benefits to society.
30,r221207d,Chart 1
31,r221207d,Market capitalisation of crypto-assets
32,r221207d,(EUR billions)
33,r221207d,Sources CryptoCompare and ECB calculations.
34,r221207d,"Notes: Crypto-asset market capitalisation is calculated as the product of circulating supply and the price of crypto- assets. If the circulating supply were adjusted for the lost bitcoins which are proxied by those that have not been used for longer than seven years, it would be around 20% lower. The selected major altcoins are Cardano (ADA), Bitcoin Cash (BCH), Dogecoin (DOGE), Link (LINK), Litecoin (LTC), Binance Coin (BNB), Ripple (XRP), Polkadot (DOT) and Solana (SOL). The selected major stablecoins are Gemini USD (GUSD), True USD (TUSD), USD Coin (USDC), Tether (USDT), Binance USD (BUSD) and Pax Dollar (USDP). Algorithmic stablecoins were excluded."
35,r221207d,"Despite consuming a vast amount of human, financial and technological resources, unbacked crypto- assets do not perform any socially or economically useful function. They are not used for retail or ] They do not fund consumption or wholesale payments – they are just too volatile and inefficient.[ investment. They do not help fuel production. And they play no part in combating climate change. In fact, unbacked crypto-assets often do the exact opposite: they can cause huge amounts of environmental ] They are also widely used for criminal and terrorist activities, or to evade taxes.[ damage.["
36,r221207d,7
37,r221207d,5
38,r221207d,6
39,r221207d,]
40,r221207d,"As a form of investment, unbacked crypto-assets lack any intrinsic value. They have no underlying claim: there is neither an issuer who is accountable and liable, nor are they backed by collateral. They are notional instruments, created using computing technology, which do not generate financial flows[ value for their holders. Therefore, their value cannot be estimated from future income discounted to the present, like for real and financial assets."
41,r221207d,] or use
42,r221207d,8
43,r221207d,"Unbacked crypto-assets cannot help to diversify portfolios. Recent developments show that their value does not increase when income becomes more valuable to consumers – such as in periods of high inflation or low growth. Crypto-assets are not digital gold. Their price changes show increasing correlation with stock markets (Chart 2), with much higher volatility. And recent developments highlight their intrinsic instability: the first bitcoin exchange-traded fund lost more on its price since its launch than any other that has been issued.["
44,r221207d,9
45,r221207d,]
46,r221207d,Chart 2
47,r221207d,Correlation between bitcoin and stock markets
48,r221207d,60-day rolling correlation between bitcoin and selected stock indices
49,r221207d,"Sources: Bloomberg, CryptoCompare and ECB calculations."
50,r221207d,"Many investors have suffered significant losses from the crypto collapse and cannot expect any compensation. There are no insurance schemes. And in several instances, crypto-assets have been shown to offer little protection against IT and cyber risks.["
51,r221207d,10
52,r221207d,]
53,r221207d,"On the whole, it is difficult to see a justification for the existence of unbacked crypto-assets in the financial landscape. Their combined features mean that they are just speculative assets. Investors buy them with the sole objective of selling them on at a higher price. In fact, they are a gamble disguised as an investment asset."
54,r221207d,"Millions of investors were lured by an illusory narrative of ever-rising crypto-asset prices – a narrative that was fuelled by extensive news reports and investment advice on social media, highlighting past price increases and features such as artificial scarcity to create the fear of missing out. Many invested without understanding what they were buying.[ Irrational enthusiasm prospered on self-fulfilling expectations:[ in a Ponzi scheme, such dynamics can only continue so long as a growing number of investors believe that prices will continue to increase. Until the enthusiasm vanishes and the bubble bursts."
55,r221207d,] the textbook definition of a bubble. Like
56,r221207d,12
57,r221207d,11
58,r221207d,]
59,r221207d,The market value of crypto-assets has shrunk from €2.5 trillion at its peak a year ago to less than €1 trillion today (Chart 1). The price of bitcoin[
60,r221207d,] has fallen by more than 70% from its peak (Chart 3).
61,r221207d,13
62,r221207d,Chart 3
63,r221207d,Price of bitcoin
64,r221207d,(EUR)
65,r221207d,Sources: CryptoCompare and ECB calculations.
66,r221207d,Stablecoins are exposed to runs
67,r221207d,"The second structural flaw is the purported stability of stablecoins, which the entire crypto ecosystem has relied on to underpin trading in crypto-assets and liquidity provision in DeFi markets.[ Although stablecoins represent only a small part of the crypto-asset market,[ the largest stablecoin, accounts for close to half of all trading on crypto-asset trading platforms (Chart 4). 16 ["
68,r221207d,"] crypto trading using Tether,"
69,r221207d,14
70,r221207d,15
71,r221207d,]
72,r221207d,]
73,r221207d,Chart 4
74,r221207d,Stablecoin trading volumes and use in crypto trading
75,r221207d,"Sources: IntoTheBlock, CryptoCompare and ECB calculations.  Notes: Panel a): The data are for the period from 1 January 2020 to 29 November 2022. Trading volume data are based on CryptoCompare’s real-time aggregate index methodology (CCCAGG), which aggregates transaction data from more than 250 exchanges. The chart reflects the sum of trading volumes involving bitcoin or ether (monthly average), as well as the respective percentages of the volume of trades occurring between bitcoin/ether and listed assets or asset groups. “Other stablecoins” includes USD Coin, DAI, Pax Dollar, TerraUSD and 12 other large stablecoins. “Other crypto-assets” includes 29 of the largest unbacked crypto-assets after bitcoin and ether. “Official currencies” includes USD, EUR, JPY, GBP, RUB, PLN, AUD, BRL, KRW, TRY, UAH, CHF, CAD, NZD, ZAR, NGN, INR and KZT. “Other” consists of remaining assets not included in the preceding categories."
76,r221207d,"Panel b): The data are for the period from 1 January 2022 to 29 November 2022. Stablecoin liquidity in decentralised exchanges is approximated based on the ten most liquid pairs on Curve, Uniswap and SushiSwap as at 29 November 2022. “Stablecoins (collateralised)” includes Tether, USD Coin and True USD. “Stablecoins (algorithmic)” includes DAI, Magic Internet Money and three further stablecoins. “Other crypto-assets” includes ether, PAX Gold and FNK wallet. “DeFi Tokens” includes wrapped bitcoin, Uniswap’s governance token UNI, SushiSwap’s governance token SUSHI and 16 other tokens of different DeFi protocols."
77,r221207d,"Stablecoins appeal to users because it is claimed that, unlike unbacked cryptos, they provide stability by having their value tied to a portfolio of assets – known as “reserve assets” – against which stablecoin holdings can be redeemed.[ maintain a stable value."
78,r221207d,"] Algorithmic stablecoins, meanwhile, aim to match supply and demand to"
79,r221207d,17
