,id,paragraph
0,r230110e,Ravi Menon: Bending the curve of nature loss
1,r230110e,"Keynote remarks by Mr Ravi Menon, Managing Director of the Monetary Authority of  Singapore and Chair of the Network for Greening the Financial System, at the COP15  Finance and Biodiversity Day, Montreal, 14 December 2022."
2,r230110e,* * *
3,r230110e,"Ladies and gentlemen, I am honoured and delighted to be able to address you on this  important occasion of COP15 of the Convention on Biological Diversity. "
4,r230110e,"The world is getting painfully acquainted with the impending climate crisis.  There are  promising efforts at mitigating this crisis, though far from what is necessary to avert  disaster."
5,r230110e,But the planet faces a second crisis –– nature and biodiversity loss.  The nature crisis is  no less threatening than the climate crisis.  But it is much less appreciated and much  less is being done to mitigate it.
6,r230110e,"We assiduously measure and seek to grow our physical and human capital.  We speak  of the importance of social and political capital.  But we fail to appreciate let alone   – the world's stock of natural resources, comprising soils, air,  measure  water, plants, animals, and minerals.  These are assets that sustain our food supplies,  underpin our economy and society, and enable human life."
7,r230110e,natural capital
8,r230110e,We are collectively depleting our natural capital and degrading the ecosystems  that support it.
9,r230110e,We are consuming more resources than the Earth can produce in a year.
10,r230110e,"At current rates of consumption, we use up 1.6 Earths' worth of resources. By 2050, our annual resource use will rise to 2 Earths' worth. We are degrading the ecosystems that support this natural capital."
11,r230110e,The drivers of biodiversity loss have worsened. None of the 20 Aichi Biodiversity Targets agreed at COP10 twelve years  ago have been fully achieved – only six were partially achieved.
12,r230110e,The depreciation of natural capital will affect our standard of living and quality of  life.
13,r230110e,"Over three-quarters of the world's food crops, worth almost 600 billion US dollars,  rely on insect and animal pollination. The loss of pollinators like honeybees in  Europe and the Americas directly threatens our food security. Hidden supply chain dependencies on nature account for more than half of gross  value added in industries that are foundational to the global economy, including  consumer goods, real estate, and transportation. Nature loss also poses a major threat to public health by worsening air and water  pollution. The 2015 Indonesian forest fires cost 151 million US dollars in  immediate health impacts, while long-term costs remain unquantified."
14,r230110e,The loss of natural capital exacerbates climate change.
15,r230110e,1/4
16,r230110e,BIS - Central bankers' speeches
17,r230110e,"Nature loss removes carbon sinks and disrupts natural temperature-regulating  systems. Conversely, healthy ecosystems help to slow climate change while protecting  communities from its impacts, like extreme weather. There is growing recognition of the climate-nature nexus: that we need to protect  and restore nature to achieve a net zero world and avoid catastrophic climate  change."
