,id,gpt_maximum_classification,gpt_average_classification,gpt_sum,gpt_length
0,r970512a,0,0.0,0,3
1,r970605b,0,0.0,0,3
2,r971104a,0,0.0,0,2
3,r980309a,0,0.0,0,2
4,r980227d,0,0.0,0,3
5,r980114a,0,0.0,0,1
6,r980109b,0,0.0,0,1
7,r980109a,0,0.0,0,3
8,r980102e,0,0.0,0,2
9,r980102d,0,0.0,0,1
10,r980102b,0,0.0,0,2
11,r980102a,0,0.0,0,3
12,r971216c,0,0.0,0,2
13,r971216b,0,0.0,0,2
14,r971216a,0,0.0,0,1
15,r971208g,0,0.0,0,2
16,r971208f,0,0.0,0,2
17,r971208e,0,0.0,0,1
18,r971208d,0,0.0,0,2
19,r971208c,0,0.0,0,2
20,r971208b,0,0.0,0,2
21,r971208a,0,0.0,0,2
22,r971202b,0,0.0,0,2
23,r971202a,0,0.0,0,3
24,r971127b,0,0.0,0,2
25,r971127a,0,0.0,0,1
26,r971121d,0,0.0,0,2
27,r971121c,0,0.0,0,2
28,r971121b,0,0.0,0,2
29,r971121a,0,0.0,0,1
30,r971119e,0,0.0,0,2
31,r971119d,0,0.0,0,1
32,r971119c,0,0.0,0,2
33,r971119b,0,0.0,0,2
34,r971119a,0,0.0,0,2
35,r971112b,0,0.0,0,2
36,r971112a,0,0.0,0,2
37,r971107c,0,0.0,0,1
38,r971107b,0,0.0,0,2
39,r971107a,0,0.0,0,2
40,r971105g,0,0.0,0,2
41,r971105f,0,0.0,0,2
42,r971105e,0,0.0,0,2
43,r971105d,0,0.0,0,2
44,r971105c,0,0.0,0,1
45,r971104b,0,0.0,0,1
46,r971030d,0,0.0,0,3
47,r971030c,0,0.0,0,1
48,r971030b,0,0.0,0,2
49,r971030a,0,0.0,0,1
50,r971021d,0,0.0,0,2
51,r971021c,0,0.0,0,4
52,r971021b,0,0.0,0,2
53,r971021a,0,0.0,0,1
54,r971010d,0,0.0,0,2
55,r971010c,0,0.0,0,3
56,r971010b,0,0.0,0,2
57,r971010a,0,0.0,0,2
58,r971007c,0,0.0,0,4
59,r971007b,0,0.0,0,2
60,r971007a,0,0.0,0,3
61,r971001h,0,0.0,0,1
62,r971001g,0,0.0,0,2
63,r971001e,0,0.0,0,2
64,r971001d,0,0.0,0,2
65,r971001c,0,0.0,0,1
66,r971001b,0,0.0,0,2
67,r971001a,0,0.0,0,1
68,r970925e,0,0.0,0,2
69,r970925d,0,0.0,0,2
70,r970925c,0,0.0,0,1
71,r970925b,0,0.0,0,1
72,r970925a,0,0.0,0,2
73,r970918b,0,0.0,0,3
74,r970918a,0,0.0,0,1
75,r970916b,0,0.0,0,3
76,r970916a,0,0.0,0,4
77,r970912b,0,0.0,0,2
